id,equipment_id,scheduled_date,completed_date,maintenance_type,description,parts_replaced,cost,technician_name,predicted_failure_component,ml_confidence_score,downtime_hours,is_completed,created_at
bda43c24-aa45-42ed-831c-6fcf5379d838,a974cd4a-dc4d-4da0-a45d-4bafe4e9a602,2026-04-12,2026-04-17,inspection,Inspection maintenance: electrical service,"[""transmission"", ""belts"", ""engine""]",2730.11,Julie Stokes,,,4.7,True,2026-04-01
287550e1-8f77-41c1-9a5e-4e759433be48,7e9b8e5b-6b9a-4618-9cac-4ea81c4ac4ac,2025-07-26,2025-07-28,predictive,Predictive maintenance: transmission service,"[""belts"", ""transmission"", ""electrical""]",631.16,Angela Diaz,electrical,0.867,12.1,True,2025-07-17
4004a182-a38e-4647-b8bd-b55ab942e823,c5021d1c-2288-4f78-98e5-46574e1ee7cd,2025-04-02,2025-04-03,scheduled,Scheduled maintenance: transmission service,"[""engine""]",1340.37,Crystal Ruiz,,,9.3,True,2025-03-28
45d714d5-4994-41d8-b4d8-140d2e66772a,e6f0322b-02d1-4905-ba34-1cca3352fb8a,2025-05-03,2025-05-06,predictive,Predictive maintenance: electrical service,[],124.07,Lawrence Ruiz,hydraulic_system,0.792,0.1,True,2025-04-29
99140644-ce62-4508-8343-c618f19e7f28,6bb78ee8-3ddc-48f2-84a1-18a349930a02,2025-08-16,2025-08-18,predictive,Predictive maintenance: bucket service,"[""belts"", ""tracks/tires""]",278.16,Alison Jackson,hydraulic_system,0.957,2.9,True,2025-08-15
8c445dfc-77f2-4de3-8a73-7a9b031b6f48,7e9b8e5b-6b9a-4618-9cac-4ea81c4ac4ac,2026-05-14,2026-05-15,scheduled,Scheduled maintenance: filters service,"[""tracks/tires"", ""hydraulic_system"", ""belts""]",456.14,Katherine Hinton,,,9.6,True,2026-05-02
1514474f-790f-4b53-8d88-35abb78be76e,864ac467-35cc-4602-b5c0-c8e8053a62d8,2025-09-06,2025-09-06,predictive,Predictive maintenance: engine service,"[""belts"", ""hydraulic_system"", ""boom""]",375.01,Amanda Hinton,electrical,0.775,3.7,True,2025-08-29
45ef21f2-5284-412b-aa07-b7cb4581fb6f,1b648b73-4d61-4583-9733-c63854f6e8bc,2026-07-17,2026-07-17,inspection,Inspection maintenance: filters service,"[""engine""]",1442.67,Frederick Davila,,,4.4,True,2026-07-11
1aefd721-5134-45e9-9217-8cf1dd3deacb,0011544a-5ae6-409e-a953-1496a9ee0b68,2025-08-20,2025-08-23,scheduled,Scheduled maintenance: engine service,"[""belts"", ""electrical"", ""filters""]",55.73,Michael Holloway,,,0.5,True,2025-08-09
3338aa83-cb3c-4893-bccf-9093198818b8,9e96e240-502d-4c40-93ab-735ed1290c24,2025-08-03,2025-08-07,scheduled,Scheduled maintenance: boom service,"[""belts"", ""transmission"", ""engine""]",672.71,Brian Ellis,,,19.6,True,2025-07-29
0a1ae9e3-4714-4de6-9521-10dfaaacfd1b,c4ebb8c0-1833-4d0d-865d-b50758a8997f,2025-08-08,2025-08-10,inspection,Inspection maintenance: transmission service,"[""filters"", ""hydraulic_system""]",960.88,John Jackson,,,0.5,True,2025-08-03
25f7e480-4d21-4587-844f-99f76a32a585,25625f85-61ca-454c-8800-9442a81efa83,2025-12-16,2025-12-16,predictive,Predictive maintenance: boom service,[],392.92,Adriana Howard,tracks/tires,0.828,4.2,True,2025-12-02
24943a2b-2ef4-43e2-b50b-607668e1fa93,534fb71e-7d96-4dc5-a491-a1d814dcb3df,2024-08-06,2024-08-11,inspection,Inspection maintenance: bucket service,"[""filters"", ""electrical"", ""tracks/tires""]",138.45,Natalie West,,,5.7,True,2024-08-01
822928cb-2a18-4c82-82d4-47ff53e9dc06,7bc3cbca-b4c9-45c2-9c98-9a7c8435a94a,2026-07-20,2026-07-25,emergency,Emergency maintenance: filters service,"[""engine"", ""electrical"", ""belts""]",295.51,Lauren Moore,,,3.9,True,2026-07-17
765c72cf-8eb4-44a9-96a0-5ee80885acbc,a9fa082c-7485-4391-8f10-e651e8511893,2025-08-13,2025-08-13,predictive,Predictive maintenance: bucket service,"[""boom"", ""hydraulic_system"", ""bucket""]",507.89,Alicia Rogers,filters,0.797,3.2,True,2025-08-04
fa3c16dd-8fe7-4f47-8b5f-aa95342c9b3b,4153e144-eafe-4a0d-8a73-fb0e00684dca,2025-04-05,2025-04-06,predictive,Predictive maintenance: boom service,[],173.52,Cheryl Ramirez,hydraulic_system,0.675,3.5,True,2025-04-04
edd26bbb-fced-4145-945d-b60ae10f550d,ffd0e402-12a8-4158-9c2a-4d41ba961885,2024-10-18,2024-10-20,scheduled,Scheduled maintenance: boom service,"[""bucket"", ""filters"", ""belts""]",2036.54,Christopher Brown,,,10.8,True,2024-10-11
80695ea0-95ae-4901-9f84-a21099381989,ba527597-80a4-4328-8151-50334a493329,2025-09-25,2025-09-27,predictive,Predictive maintenance: electrical service,[],194.85,Alexis Perez,hydraulic_system,0.852,0.8,True,2025-09-19
eae8a833-d261-4d91-8ae1-77361c7565d5,5ae99346-70e5-4ecd-a761-37fc492ec014,2026-07-06,2026-07-09,predictive,Predictive maintenance: filters service,"[""hydraulic_system""]",267.17,Tina Coleman,engine,0.693,9.4,True,2026-07-04
a3359169-2eed-49ed-b3eb-a2e1147a4993,2d860599-e5d8-4008-93a8-249e3808efb5,2025-09-04,2025-09-04,scheduled,Scheduled maintenance: bucket service,"[""engine"", ""filters""]",311.08,Amanda Weber,,,15.2,True,2025-08-21
1f219223-aebe-47de-9a8f-075c038c2268,3b7f53dc-89bc-42d5-bba4-4b64972c25dc,2025-10-08,2025-10-13,emergency,Emergency maintenance: belts service,"[""bucket"", ""tracks/tires""]",843.61,Kenneth Bryant,,,3.5,True,2025-10-07
aedfaa3b-e596-4c33-874f-91cf92ef0a17,dc78356a-fed9-45ea-beab-0914299bb385,2025-04-23,2025-04-25,scheduled,Scheduled maintenance: engine service,"[""belts"", ""tracks/tires"", ""boom""]",392.19,Melvin Ford,,,16.4,True,2025-04-16
4ad84d58-ef85-4f1d-aee5-ee9d636ecc2f,3e7ebecc-5d5c-4427-b151-3ea728111ecf,2024-09-07,2024-09-07,scheduled,Scheduled maintenance: filters service,"[""electrical"", ""hydraulic_system"", ""boom""]",253.36,Blake Vazquez,,,0.0,True,2024-08-31
788bddae-18da-4fbc-8d1c-b69a98fc196f,7a484d66-c096-48a2-b5ca-78f101e878b5,2025-03-17,2025-03-18,scheduled,Scheduled maintenance: filters service,"[""electrical"", ""transmission""]",35.7,Derek Jackson,,,5.3,True,2025-03-03
fd0a317b-aa56-45b3-98dd-39c4d9f71d4b,e5f9c625-ef35-4d40-b589-e5e8c7796840,2024-08-26,2024-08-26,predictive,Predictive maintenance: hydraulic_system service,"[""boom"", ""electrical""]",52.05,Philip Williams,bucket,0.925,2.7,True,2024-08-12
a732988a-676c-4f94-9239-4f447dee15f4,c2cb93cd-ef91-41d5-804b-e127e14d401f,2025-12-23,2025-12-23,scheduled,Scheduled maintenance: transmission service,"[""tracks/tires"", ""electrical""]",321.59,Bryan Rivera,,,4.2,True,2025-12-16
6d5e4854-d794-4886-924e-bb69c6de8be9,7b52a643-7d48-4552-86a7-b3637d5ba953,2024-11-22,2024-11-24,emergency,Emergency maintenance: tracks/tires service,[],439.17,Autumn Henderson,,,13.9,True,2024-11-19
e101e0e4-9788-4ea3-b6ad-11e1c4c2822d,4d1f93ef-9f20-4d42-95b3-50f240c48266,2025-07-02,2025-07-03,scheduled,Scheduled maintenance: engine service,"[""engine""]",589.13,Jennifer Davis,,,15.5,True,2025-06-22
a286ad69-4198-4ae2-b6f8-5367eff2cff7,8e7ae8fd-f5b7-47d4-81a5-ec025a3a8869,2025-01-14,2025-01-16,emergency,Emergency maintenance: tracks/tires service,"[""bucket"", ""engine"", ""filters""]",14.29,Michael Carter,,,14.9,True,2025-01-12
1e76b02e-def1-445a-a92a-afdae3e625aa,0fe403fa-d3ba-4841-b786-20b08f190bd7,2026-02-02,2026-02-05,scheduled,Scheduled maintenance: tracks/tires service,"[""transmission"", ""engine"", ""hydraulic_system""]",477.94,Donald Murray,,,16.9,True,2026-02-01
529f42f1-af4d-497c-8c92-297b158f5778,7e5d4a8c-1dca-4355-bf3c-21051af0ada4,2025-09-01,2025-09-03,predictive,Predictive maintenance: hydraulic_system service,"[""belts"", ""filters""]",297.74,Timothy Nielsen,electrical,0.669,0.3,True,2025-08-29
0766a925-dade-49d9-899c-77e37cbca888,e3e0542c-edff-458e-babf-076f42ac3d26,2025-11-02,2025-11-03,inspection,Inspection maintenance: hydraulic_system service,"[""boom"", ""transmission"", ""engine""]",21.2,Janice Thomas,,,3.5,True,2025-11-01
f8bccc23-d40c-4c4e-a4fe-76903470e698,79f5bb58-6b8a-4eb8-82d9-816fbcff25fb,2024-12-19,,emergency,Emergency maintenance: engine service,"[""bucket"", ""belts"", ""electrical""]",589.23,Alan Pratt,,,0.8,False,2024-12-18
59fc9b95-fade-4792-86d8-481f7a9b7ee8,1a1f0949-9c73-4342-a795-39b7dace660e,2024-08-11,2024-08-14,scheduled,Scheduled maintenance: engine service,"[""bucket"", ""engine""]",57.97,Aaron Herrera PhD,,,5.5,True,2024-08-04
693ba2d2-3666-4af1-b8e0-ef02060965a9,302a2187-abca-48b5-824b-a164d18aa722,2025-07-03,2025-07-03,scheduled,Scheduled maintenance: transmission service,[],294.47,Ronald Mcdonald,,,1.0,True,2025-06-21
aa91406e-38d6-49c1-a835-383a96cedb7b,8c452087-0c9b-400b-96f8-f88881baa3f3,2026-01-29,2026-02-03,inspection,Inspection maintenance: belts service,"[""tracks/tires"", ""transmission"", ""hydraulic_system""]",822.68,Dylan Juarez,,,15.5,True,2026-01-22
a35498b8-6705-42cd-9d5e-24d4a024bfc4,7edcfa59-db28-4bba-9f31-5f2b6b39f147,2025-12-09,2025-12-12,scheduled,Scheduled maintenance: transmission service,"[""tracks/tires"", ""transmission""]",475.52,Ronald Jimenez,,,2.3,True,2025-12-06
39bce106-d842-4c51-8163-2f517b33580f,17916214-0191-4dca-a455-c111cbb71a77,2025-05-25,2025-05-30,scheduled,Scheduled maintenance: engine service,"[""electrical"", ""engine"", ""transmission""]",605.97,Kevin Davenport,,,0.2,True,2025-05-20
09c85f02-0331-483c-b07e-9b32114f9df0,5d870766-d261-482d-a5e2-d98a65859089,2024-10-24,2024-10-27,scheduled,Scheduled maintenance: transmission service,"[""tracks/tires"", ""boom""]",385.17,Chelsea Day,,,5.3,True,2024-10-20
6df8e3d9-f6ea-4e20-aff2-7dfe819741e9,fb8e252b-b60a-4ca7-93ef-511390a4a69b,2025-05-09,2025-05-14,emergency,Emergency maintenance: boom service,"[""hydraulic_system"", ""engine"", ""bucket""]",311.04,John Patton,,,2.3,True,2025-05-05
e43aeb02-a569-4c14-beb8-0013f1492609,028a6f52-add2-4c7a-b7a3-a9c22ddb4879,2025-11-27,2025-12-02,scheduled,Scheduled maintenance: bucket service,"[""belts""]",191.38,Brian Kirby,,,2.2,True,2025-11-14
06148621-a2cc-4dba-ba1a-b6880c4bf9e6,cb415840-0767-41a7-9e53-940076a20c84,2025-07-23,2025-07-26,predictive,Predictive maintenance: boom service,[],1116.61,Sarah Lee,belts,0.656,8.7,True,2025-07-09
5c62b240-3c5c-4759-9989-82359209625d,5aeb4d24-f2c3-4048-bc18-aa047ef63c9c,2026-06-18,2026-06-23,inspection,Inspection maintenance: engine service,"[""transmission"", ""boom"", ""filters""]",806.85,Carol Mccullough,,,13.6,True,2026-06-04
0e15ef84-68a9-45c6-aabf-67b00144c49b,7e5d4a8c-1dca-4355-bf3c-21051af0ada4,2026-04-12,2026-04-13,predictive,Predictive maintenance: filters service,"[""engine"", ""transmission""]",65.56,Nathaniel Lewis,hydraulic_system,0.766,1.0,True,2026-04-11
8c167d43-adae-4202-9732-047256eb1101,3e3019fa-a267-4d7f-bb15-663440ce03d0,2024-09-01,2024-09-02,scheduled,Scheduled maintenance: bucket service,"[""bucket"", ""filters""]",583.89,Lauren Mason,,,10.8,True,2024-08-24
ae3e89cd-e343-4efc-981a-ede8aafc16a7,ba5033b1-3a46-463d-b0a5-c4d5b24a7271,2024-08-14,2024-08-16,inspection,Inspection maintenance: bucket service,"[""transmission""]",393.22,Erica Cardenas,,,5.5,True,2024-08-09
3bef5000-d610-4e0f-a8c3-0583fea79c22,625e3638-bb4d-4ec4-9a4a-6dc7b898370e,2026-05-19,2026-05-19,scheduled,Scheduled maintenance: belts service,[],333.92,Stephanie Guerrero,,,1.0,True,2026-05-15
50b6aaca-bb4f-4411-a89f-6b661c4fb2df,a974cd4a-dc4d-4da0-a45d-4bafe4e9a602,2026-03-23,2026-03-23,scheduled,Scheduled maintenance: tracks/tires service,"[""tracks/tires"", ""transmission"", ""bucket""]",668.3,Amanda Grant,,,2.2,True,2026-03-14
89489e87-bdd0-4bb9-a21b-470b25b100b3,5aeb4d24-f2c3-4048-bc18-aa047ef63c9c,2025-07-11,2025-07-11,predictive,Predictive maintenance: engine service,"[""electrical"", ""belts"", ""tracks/tires""]",772.43,Amy Garrett,transmission,0.856,3.5,True,2025-07-10
4988a022-4309-470f-a757-339320867f90,2ae14b25-d7d0-4e75-b7fe-7fdf25c28459,2025-11-17,2025-11-20,scheduled,Scheduled maintenance: filters service,"[""engine"", ""transmission"", ""hydraulic_system""]",61.76,Richard Bryan,,,10.6,True,2025-11-12
380d44e2-4a79-4573-b919-736e8623a0ab,85ceefd0-0dcd-43e6-a1b3-2c32886dc130,2025-04-12,2025-04-12,inspection,Inspection maintenance: boom service,"[""boom"", ""tracks/tires"", ""transmission""]",163.44,Mr. Kenneth Murphy MD,,,3.0,True,2025-03-31
40b566cf-d0a1-4b67-b757-64da1a74c240,1b7b60bf-0ac4-49da-966a-5a98b83418e1,2026-04-12,2026-04-14,scheduled,Scheduled maintenance: electrical service,"[""engine"", ""bucket"", ""belts""]",580.04,Benjamin Kelley,,,6.7,True,2026-04-04
1cb9c126-4761-4dd4-a218-e7f90cd96b22,d47eca91-9b10-4616-a8ac-c4a615f58553,2025-09-17,2025-09-18,predictive,Predictive maintenance: hydraulic_system service,"[""hydraulic_system""]",1079.86,James Cox,tracks/tires,0.652,0.3,True,2025-09-13
797feb84-cdd8-4cff-af75-fd76b9c13b25,e8a114b7-cf32-44df-8c23-271167d56b06,2025-04-24,2025-04-25,predictive,Predictive maintenance: boom service,"[""electrical"", ""belts"", ""bucket""]",90.08,Rebecca Conway,filters,0.677,12.6,True,2025-04-12
bd848b36-2255-4f3a-887a-d5ac74f99d60,e5f9c625-ef35-4d40-b589-e5e8c7796840,2024-12-19,2024-12-21,scheduled,Scheduled maintenance: transmission service,"[""bucket"", ""filters"", ""transmission""]",320.68,John Smith,,,13.5,True,2024-12-18
7cc2a409-144a-4aed-a9b9-892111413054,dafc1843-ef7c-45ed-8027-7a0fb93d8b7f,2026-07-05,2026-07-07,scheduled,Scheduled maintenance: hydraulic_system service,[],295.12,Gregory Kelly,,,4.8,True,2026-07-01
0b6d4072-abc9-4d4a-b96c-6f66cb1e36c2,4d1f93ef-9f20-4d42-95b3-50f240c48266,2026-07-12,,scheduled,Scheduled maintenance: filters service,"[""filters"", ""transmission"", ""engine""]",426.8,Amanda Hicks,,,3.2,False,2026-06-29
177b9cd5-3f44-4f41-918e-03c418ec5d17,2ab932e1-c4fd-4896-959e-68103ceed44c,2025-06-26,2025-06-27,scheduled,Scheduled maintenance: transmission service,"[""transmission"", ""electrical"", ""boom""]",351.82,Ryan Bryant,,,1.2,True,2025-06-21
27fec2d5-9812-4f91-bb55-4f480a5609b6,9266e553-423b-4eb2-b73d-bb4fc3a7cb5f,2026-07-17,2026-07-18,scheduled,Scheduled maintenance: engine service,"[""hydraulic_system"", ""transmission""]",966.18,David Sanders,,,0.4,True,2026-07-12
caee7c30-08fa-465b-8d69-b85841cd66ca,7d745603-179b-4273-bbc0-e1e6fa47306b,2026-03-01,2026-03-06,predictive,Predictive maintenance: transmission service,"[""boom"", ""tracks/tires"", ""hydraulic_system""]",780.25,Kara Rice,bucket,0.776,16.9,True,2026-02-23
d281a902-a57a-49e1-a823-af1ffa5b5dc4,c2cb93cd-ef91-41d5-804b-e127e14d401f,2025-03-29,2025-04-01,predictive,Predictive maintenance: belts service,"[""boom"", ""engine""]",211.56,Crystal Campbell,belts,0.926,12.1,True,2025-03-15
bd42afa6-4c0a-4d7e-9f48-2db3424e74fb,64c0e7f6-be13-41da-8422-adf86c400857,2025-04-04,2025-04-09,scheduled,Scheduled maintenance: filters service,"[""belts"", ""boom"", ""electrical""]",684.93,Stacey Haynes,,,0.7,True,2025-04-03
dfc10b98-0395-42e0-8d6e-bee76b3d9263,f1b4d8ee-ca3f-4950-8d28-3bd74f725346,2025-09-23,2025-09-26,predictive,Predictive maintenance: tracks/tires service,[],370.76,Gary Ruiz,hydraulic_system,0.967,3.5,True,2025-09-22
7bfd4eda-d7ec-4cb2-8fd8-421f81fab78c,f65bd9f5-b41b-48b3-8d2c-b1e53f73cb7d,2026-05-06,2026-05-06,scheduled,Scheduled maintenance: transmission service,[],959.83,Ashley Brewer,,,5.1,True,2026-04-30
e123f201-ab20-4f0e-9e64-b6d9822d3b09,2a3e913c-f1f7-4092-942d-a5b2787c31f6,2026-06-19,2026-06-22,predictive,Predictive maintenance: boom service,"[""tracks/tires"", ""electrical""]",400.34,Jo Watson,boom,0.802,8.5,True,2026-06-05
b411335b-446e-4673-be58-131cb7281933,ce450d7c-8744-4bea-b762-ae5dea8c17fa,2024-12-19,2024-12-22,predictive,Predictive maintenance: boom service,"[""filters""]",299.94,Wayne Thompson,bucket,0.909,10.6,True,2024-12-14
a0797e62-ce21-4276-870d-c0651250767a,9755da49-9715-44bb-9451-f695a12990e6,2024-08-26,2024-08-28,scheduled,Scheduled maintenance: hydraulic_system service,"[""tracks/tires"", ""electrical"", ""belts""]",92.05,Anthony Villegas,,,7.6,True,2024-08-18
9075a473-ca91-40a3-ad9c-40fe04cba903,327125e1-ed4e-4a6f-91db-4e8dee4083cd,2026-04-30,2026-05-05,scheduled,Scheduled maintenance: hydraulic_system service,[],572.04,Kristy Hernandez,,,4.5,True,2026-04-18
76c2b6d2-9cfb-45b2-9dc6-3ff0bab93154,e0d0a08d-b2c6-4224-b766-e6db1643197a,2025-01-05,2025-01-06,emergency,Emergency maintenance: electrical service,[],866.4,Heather Davis,,,2.1,True,2024-12-22
7d2d893e-6911-4e84-a42b-072f82bd9c77,e1105589-f4b9-4bbb-a8a8-6fc603567db8,2025-10-23,2025-10-24,scheduled,Scheduled maintenance: tracks/tires service,"[""belts""]",138.34,Donald Fletcher,,,1.3,True,2025-10-19
61307821-d78d-4cdc-8667-9ada844ceeb9,d024093d-cb09-4d73-8df9-85052f0d96b9,2025-11-13,2025-11-14,predictive,Predictive maintenance: tracks/tires service,"[""bucket""]",552.59,Harold Elliott,electrical,0.976,11.0,True,2025-11-12
a4bd305d-9934-463f-9968-dbc6ca6d800c,00dfc27a-dd6a-4526-8f65-77ab0420d66f,2025-03-21,2025-03-24,scheduled,Scheduled maintenance: tracks/tires service,[],32.84,William Ellis,,,4.9,True,2025-03-08
578c184b-6547-40f6-bb37-ebe5d7fe7729,5df928a2-4565-45a3-945e-629df25d6ef4,2024-12-16,,predictive,Predictive maintenance: bucket service,[],245.02,Meagan Odonnell,electrical,0.849,3.4,False,2024-12-03
5ab695b8-c4be-44ad-a246-f24bdf944d92,430ede0b-bf08-4d46-87e1-b8fd96521518,2024-12-11,2024-12-12,inspection,Inspection maintenance: engine service,"[""bucket"", ""electrical"", ""tracks/tires""]",107.14,Nicholas Clayton,,,1.3,True,2024-12-06
52ffe7b9-7300-4ed0-8774-377c2ac8a7d9,edd08cfa-27bd-43ea-a9de-619405ee2af8,2025-04-22,2025-04-25,scheduled,Scheduled maintenance: hydraulic_system service,[],1048.96,Patrick Johnston,,,1.6,True,2025-04-20
19a49817-5d29-447d-aeca-3c5593f0f530,78ab9fb2-0716-480a-9bad-035613f3b28e,2026-03-17,2026-03-22,inspection,Inspection maintenance: filters service,"[""belts""]",1765.89,Karen Perkins,,,2.2,True,2026-03-16
4171e847-7b91-491a-acb8-009a3498a5c0,5aeb4d24-f2c3-4048-bc18-aa047ef63c9c,2026-04-05,2026-04-09,inspection,Inspection maintenance: engine service,[],139.01,Leslie Munoz,,,4.0,True,2026-03-24
c8d9eee7-7efe-43fb-9db6-5ff527183d76,6fa5fe73-6509-439e-b774-bdd26d66730b,2025-09-22,2025-09-23,scheduled,Scheduled maintenance: boom service,"[""tracks/tires"", ""filters"", ""electrical""]",71.37,Christopher Tran,,,0.6,True,2025-09-14
541332b3-70db-45ab-9a67-fcf96bb69db0,e4810aa1-9b11-4f29-bca2-74d831309b14,2025-07-28,2025-08-01,scheduled,Scheduled maintenance: belts service,"[""tracks/tires"", ""belts""]",1778.29,Julie Gomez,,,7.8,True,2025-07-25
229ad3e1-1980-49b4-b92e-f0758d9ce02e,949f1670-da08-4a43-9030-bfabbedb1e17,2026-04-25,2026-04-28,inspection,Inspection maintenance: engine service,"[""belts"", ""boom""]",494.34,Micheal Watkins,,,7.8,True,2026-04-21
c4328433-b800-49cd-abaa-0edc9d3f23c5,0aa11de9-1db1-4eae-a9b5-d924abe9c2a2,2024-11-19,2024-11-21,scheduled,Scheduled maintenance: filters service,"[""bucket"", ""transmission"", ""hydraulic_system""]",559.75,Jodi Porter DDS,,,4.8,True,2024-11-18
a71af422-1ffc-4eca-bfa6-6e8fb09e5817,915f5e10-640b-41dd-9184-0d7c8f35e828,2025-01-07,2025-01-07,scheduled,Scheduled maintenance: boom service,[],60.45,Kimberly Daniels,,,7.3,True,2025-01-06
4ea68550-f1c0-4765-b692-a65efad7a162,5aeb4d24-f2c3-4048-bc18-aa047ef63c9c,2025-05-14,,scheduled,Scheduled maintenance: engine service,"[""boom""]",824.24,Matthew Carlson,,,5.9,False,2025-05-10
3dff5fca-fd66-414a-8979-dbba808370b5,6dd74016-a902-444b-b617-7bd4f6b83294,2025-01-02,2025-01-03,scheduled,Scheduled maintenance: bucket service,"[""electrical""]",8.63,Kenneth Hill,,,12.5,True,2024-12-31
c161977a-0251-4575-8a22-75e1bb9bb783,ac122536-8c85-42fc-9eb2-e2d469100074,2025-11-04,2025-11-07,predictive,Predictive maintenance: electrical service,"[""hydraulic_system""]",338.96,Brittany Morris,engine,0.727,0.2,True,2025-10-24
91a8462a-7715-494e-ad2d-54f6fd47f05b,7b52a643-7d48-4552-86a7-b3637d5ba953,2026-02-18,2026-02-23,predictive,Predictive maintenance: tracks/tires service,"[""belts"", ""electrical"", ""boom""]",1038.52,Brandon Nguyen,belts,0.884,26.0,True,2026-02-06
37c940cc-38d0-4db8-a379-05d9ff05ffce,63bb2d34-862a-4956-99fa-e25a4fdc39ff,2026-05-25,2026-05-26,predictive,Predictive maintenance: boom service,"[""tracks/tires"", ""electrical""]",1147.42,Brenda Douglas,engine,0.874,2.9,True,2026-05-18
1b2d47d3-129c-4318-b35c-100ee9a12427,6dd74016-a902-444b-b617-7bd4f6b83294,2026-06-27,2026-06-27,scheduled,Scheduled maintenance: filters service,"[""transmission""]",185.11,Amy Anderson,,,0.1,True,2026-06-15
d01a40a2-25b6-4d42-a5da-e627efa5d419,aca42319-33a0-4cf6-8b7d-78859b677eb0,2024-10-01,,scheduled,Scheduled maintenance: boom service,[],33.15,Ronald May,,,5.3,False,2024-09-23
b35ce0ce-db20-492e-8404-1084379d58e8,17d127a3-7a84-4ff8-88fa-1f0f76419d22,2026-06-20,2026-06-22,inspection,Inspection maintenance: hydraulic_system service,[],0.73,William Espinoza,,,5.6,True,2026-06-12
0c132705-3248-40c9-83d6-eaa5839010b3,5f2cf8b3-200e-4e56-b3f1-e29f28dca3c3,2025-10-22,2025-10-27,scheduled,Scheduled maintenance: electrical service,"[""belts"", ""bucket""]",372.69,Francisco Lang,,,11.7,True,2025-10-11
b77a6c91-57f3-410b-83a1-75e331137586,79f5bb58-6b8a-4eb8-82d9-816fbcff25fb,2026-05-25,2026-05-27,predictive,Predictive maintenance: filters service,[],45.68,Charlotte Navarro,tracks/tires,0.883,3.3,True,2026-05-19
1a2597ff-a526-4a5a-8233-92aa4a24fe3e,210c0724-60bc-41f4-9acb-2ac925b626ad,2025-06-07,2025-06-07,scheduled,Scheduled maintenance: electrical service,[],1359.92,Timothy Garner,,,8.9,True,2025-05-28
