id,equipment_id,event_type,severity,title,description,is_acknowledged,acknowledged_by,event_time,created_at
709aac71-7257-4513-8c3f-a7d7c1a7dca6,57b586c2-f9f4-4152-a789-f31b88952eae,engine_overheat,warning,Engine Overheat Alert,Automated alert: engine overheat detected on Komatsu PC200 Excavator,True,,2026-07-30T15:19:14,2026-07-30T15:16:56
0449f3cf-521f-4270-b447-8451cbdd92cc,0c312c42-76c0-4fd5-a0c3-c394c5555555,speed_violation,critical,Speed Violation Alert,Automated alert: speed violation detected on CAT DP50 Forklift,True,Jessica Ramos,2026-07-30T15:18:33,2026-07-30T15:17:27
919eb369-49cb-4a24-b370-06151f0a9f7e,53f3bf49-f075-4261-952d-682f64be6bb3,speed_violation,emergency,Speed Violation Alert,Automated alert: speed violation detected on Cummins QSX15 Generator,False,Raymond Richards,2026-07-30T15:15:30,2026-07-30T15:17:44
df694981-02c7-4cef-a6c8-8caa4008424d,02b01403-ec33-4019-a641-5252aa73f24d,maintenance_due,info,Maintenance Due Alert,Automated alert: maintenance due detected on Hyster H80FT Forklift,True,Sandra Harris,2026-07-30T15:17:10,2026-07-30T15:17:50
8338b128-c523-44b6-937d-6ad2a5bcc549,b7557854-c914-4c3f-bb44-4208ef5335d1,geofence_breach,warning,Geofence Breach Alert,Automated alert: geofence breach detected on CAT C15 Generator,True,Matthew Reynolds,2026-07-30T15:19:24,2026-07-30T15:14:13
116b7c99-0ea7-4528-b836-90db9167b0a3,a9e7eda7-3202-4bfa-8a5f-976bec226a8a,unauthorized_movement,info,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on CAT 966 Loader,True,Joshua Thompson,2026-07-30T15:19:48,2026-07-30T15:16:32
ce984619-1cf7-43d4-9957-2ea07daa9c3c,e3e54c3b-0194-4920-b56b-e9c5d1cbec51,speed_violation,info,Speed Violation Alert,Automated alert: speed violation detected on Hyster H80FT Forklift,True,,2026-07-30T15:19:29,2026-07-30T15:18:04
c88e491c-fd83-42d0-9e62-8af11d586542,45418852-2841-45b8-993c-98fa0322df4c,battery_low,critical,Battery Low Alert,Automated alert: battery low detected on CAT C15 Generator,True,,2026-07-30T15:18:14,2026-07-30T15:14:33
43d336aa-ae52-4465-8016-c0e9cc4ab19c,5ef500a6-43c4-4756-8ef0-c813a2cf66cb,engine_overheat,info,Engine Overheat Alert,Automated alert: engine overheat detected on CAT 950 Loader,True,,2026-07-30T15:16:25,2026-07-30T15:16:56
1c973923-8331-44bd-bd8e-fa621384669e,d365d6ff-2b94-4722-b385-7cb32353367d,maintenance_due,warning,Maintenance Due Alert,Automated alert: maintenance due detected on Link-Belt TCC-750 Crane,True,Gerald Todd,2026-07-30T15:18:25,2026-07-30T15:18:24
ad6c703d-c8b6-4e7d-ab4d-1a98971f484f,a6b243e1-d7b4-459e-a48c-e1ad64b258ad,unauthorized_movement,info,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on MTU 12V4000 Generator,False,,2026-07-30T15:15:19,2026-07-30T15:18:59
57c8abf4-7105-4885-b470-85f9d26096a5,b41ba241-49fa-43d9-90d5-f6cf8fedeed1,unauthorized_movement,warning,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on Dynapac CA3500 Compactor,True,Sarah Foster MD,2026-07-30T15:15:12,2026-07-30T15:14:51
5c759b28-9dbc-47c0-b051-b2b8ed65e916,e353b71f-4e57-41df-983e-49758c475124,battery_low,info,Battery Low Alert,Automated alert: battery low detected on Toyota 8FGU25 Forklift,True,Matthew Myers MD,2026-07-30T15:16:08,2026-07-30T15:17:33
fd62e28d-a9b3-4c94-8f45-383cc8681479,63bb2d34-862a-4956-99fa-e25a4fdc39ff,health_alert,info,Health Alert Alert,Automated alert: health alert detected on MTU 12V4000 Generator,False,,2026-07-30T15:14:45,2026-07-30T15:18:40
dea6913d-81cf-463a-9d4b-117e767699a7,da900d73-122f-44c7-b4c8-977bcf9fbe8a,geofence_breach,info,Geofence Breach Alert,Automated alert: geofence breach detected on Komatsu D65 Bulldozer,True,Cassandra Garcia,2026-07-30T15:16:26,2026-07-30T15:15:32
8599ff6d-83eb-483f-b63b-818dffb1f6f0,798bad4b-0934-4074-af03-e48a7794931d,fuel_low,warning,Fuel Low Alert,Automated alert: fuel low detected on CAT 330 Excavator,True,,2026-07-30T15:16:48,2026-07-30T15:15:29
9ff72e60-8da3-4296-ad93-d256f8475bfb,67bb39ff-2ab4-4470-85a5-4fb2bf5e4f06,health_alert,warning,Health Alert Alert,Automated alert: health alert detected on CAT D6 Bulldozer,False,Emily Carr,2026-07-30T15:17:16,2026-07-30T15:14:26
39cc19dd-8007-4bea-b791-16526e1afc73,4bba57e3-eae8-4c6e-b9d5-8b3cd965fb65,overload_detected,critical,Overload Detected Alert,Automated alert: overload detected detected on CAT CS56 Compactor,True,Michael Rodriguez,2026-07-30T15:18:33,2026-07-30T15:16:47
12af71aa-22fc-40b5-bba2-ae3068d21018,6f97990d-4462-40f3-9a2f-6c57643219a6,engine_overheat,warning,Engine Overheat Alert,Automated alert: engine overheat detected on JCB 457 Loader,True,Ashlee Thomas,2026-07-30T15:15:26,2026-07-30T15:14:53
b0a4ba39-9512-4d5d-aae9-e32512798289,afae5247-56ca-4e22-b66c-f8c8145a478f,maintenance_due,warning,Maintenance Due Alert,Automated alert: maintenance due detected on John Deere 850K Bulldozer,True,Roger Cole,2026-07-30T15:16:02,2026-07-30T15:15:19
c29588f1-079b-4101-8ca3-ddc082fd3b08,ae8a1cca-5404-4567-aa2d-f4c2db0c5abf,maintenance_due,critical,Maintenance Due Alert,Automated alert: maintenance due detected on CAT C15 Generator,True,Gabriel Murray,2026-07-30T15:19:05,2026-07-30T15:16:13
4ebdb8f7-f8d6-431a-88d8-5aeb34627164,2e8f60ab-b704-4b10-bcf5-af72ca109055,fuel_low,critical,Fuel Low Alert,Automated alert: fuel low detected on Volvo L120 Loader,True,,2026-07-30T15:17:19,2026-07-30T15:18:12
3672beef-bace-4b68-a821-66d80c1d7979,c2cb93cd-ef91-41d5-804b-e127e14d401f,engine_overheat,info,Engine Overheat Alert,Automated alert: engine overheat detected on Yale GLP060VX Forklift,False,Sharon Anderson,2026-07-30T15:16:16,2026-07-30T15:19:47
ae808b4c-1faa-4fa5-aa73-824b25e4adf4,2f9e9f13-f622-4db8-b4ea-492db29c8e79,maintenance_due,info,Maintenance Due Alert,Automated alert: maintenance due detected on Volvo L120 Loader,True,Daniel Brown,2026-07-30T15:15:02,2026-07-30T15:13:57
df3a440d-cad4-4cb6-bedd-72dfc6ed75ff,8da23c2a-5abe-405b-82d9-47dd98fdda1d,health_alert,info,Health Alert Alert,Automated alert: health alert detected on CAT CS56 Compactor,True,,2026-07-30T15:17:08,2026-07-30T15:17:05
b1334424-2f01-4df0-b2c4-6c524cffc834,4a5152a5-8633-4eee-8995-610a98395c35,unauthorized_movement,info,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on Yale GLP060VX Forklift,False,Christopher Rojas,2026-07-30T15:19:12,2026-07-30T15:18:07
ae76cfeb-d8b0-4ae3-b5ea-9a7001dee67f,8eba96a4-686f-4a58-9453-a156502b68e7,excessive_idle,info,Excessive Idle Alert,Automated alert: excessive idle detected on Komatsu D65 Bulldozer,False,Matthew Berry,2026-07-30T15:15:11,2026-07-30T15:14:17
e490e1cf-4a3c-40b8-a789-a98881e33630,215e05b6-85bb-4941-850d-7f4508c4201b,fuel_low,critical,Fuel Low Alert,Automated alert: fuel low detected on Komatsu D65 Bulldozer,True,,2026-07-30T15:17:11,2026-07-30T15:14:08
8740d26b-32fd-4c50-a18e-e938f90c4dc6,6f97990d-4462-40f3-9a2f-6c57643219a6,overload_detected,critical,Overload Detected Alert,Automated alert: overload detected detected on JCB 457 Loader,True,Lauren King,2026-07-30T15:18:22,2026-07-30T15:14:21
1ce16e5a-fca8-4cf8-bdaf-60c109958eff,7ec6d0a4-50b8-4c4c-987e-3f365800069e,overload_detected,critical,Overload Detected Alert,Automated alert: overload detected detected on CAT D6 Bulldozer,False,,2026-07-30T15:18:31,2026-07-30T15:14:15
d9ae763c-0a90-4513-b902-6e47c54a8d21,a9fa082c-7485-4391-8f10-e651e8511893,speed_violation,info,Speed Violation Alert,Automated alert: speed violation detected on Bomag BW 213 Compactor,True,Timothy Snyder,2026-07-30T15:16:56,2026-07-30T15:15:04
6aef539f-5866-4b4d-93e9-1b3895348885,d2c330e9-fc8f-4b13-85f3-53cedcfdcade,excessive_idle,info,Excessive Idle Alert,Automated alert: excessive idle detected on MTU 12V4000 Generator,False,,2026-07-30T15:15:54,2026-07-30T15:14:59
ef33dbd4-7078-45d7-81ed-c11feceb8d09,47665766-7fef-4c04-bbf4-9c08b872b5b5,excessive_idle,critical,Excessive Idle Alert,Automated alert: excessive idle detected on Tadano GR-1000 Crane,True,Amy Welch,2026-07-30T15:14:12,2026-07-30T15:19:54
33ea57b1-3f3e-43a4-b797-23dd900dc3a7,af58a6fb-0ce2-46f6-b3bf-efc4035d16dc,excessive_idle,info,Excessive Idle Alert,Automated alert: excessive idle detected on CAT 966 Loader,False,,2026-07-30T15:17:51,2026-07-30T15:15:49
ca596828-4547-44fc-b28f-9907deb74fd2,a6b243e1-d7b4-459e-a48c-e1ad64b258ad,speed_violation,warning,Speed Violation Alert,Automated alert: speed violation detected on MTU 12V4000 Generator,False,Christine Armstrong,2026-07-30T15:16:13,2026-07-30T15:14:12
8033bfbc-eaaf-4c47-b8fd-30028e3ba48f,e5f9c625-ef35-4d40-b589-e5e8c7796840,speed_violation,warning,Speed Violation Alert,Automated alert: speed violation detected on CAT C15 Generator,False,Larry Hill,2026-07-30T15:16:50,2026-07-30T15:16:51
f6b08d65-a05a-47af-8499-95d010647727,0e2e2d65-7058-4484-8176-fc5c68adb06f,maintenance_due,info,Maintenance Due Alert,Automated alert: maintenance due detected on Tadano GR-1000 Crane,True,Becky James,2026-07-30T15:18:38,2026-07-30T15:17:16
4d4f2cb0-5009-4f78-a3fa-63dbc66e4844,e4269275-0324-471a-a492-bfe7425a20ab,health_alert,warning,Health Alert Alert,Automated alert: health alert detected on Yale GLP060VX Forklift,True,Destiny Russell,2026-07-30T15:17:41,2026-07-30T15:16:02
5545270a-3c34-4ab1-9244-a8a89ed5392b,f8749ec0-d851-455c-83eb-60e4d29f6514,maintenance_due,emergency,Maintenance Due Alert,Automated alert: maintenance due detected on Hyster H80FT Forklift,False,,2026-07-30T15:17:20,2026-07-30T15:16:04
688a8a74-ffcd-4953-97b6-ccbc421e7e42,0e2e2d65-7058-4484-8176-fc5c68adb06f,engine_overheat,info,Engine Overheat Alert,Automated alert: engine overheat detected on Tadano GR-1000 Crane,True,Jennifer Moody,2026-07-30T15:15:28,2026-07-30T15:18:08
47742d4f-c51c-4345-8839-cbed037c84a2,36abd37b-7941-4398-bc33-c6512a939d89,engine_overheat,warning,Engine Overheat Alert,Automated alert: engine overheat detected on Yale GLP060VX Forklift,True,,2026-07-30T15:18:12,2026-07-30T15:15:20
f63b7abd-ce06-4811-b192-ec85b103c92f,f1b4d8ee-ca3f-4950-8d28-3bd74f725346,unauthorized_movement,critical,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on CAT 336 Excavator,True,Stacy Smith,2026-07-30T15:17:41,2026-07-30T15:19:18
f113001d-482a-4c6e-b164-f2cb88f8cb2f,abde9c0a-6f8b-47a1-9208-078b30f1decc,geofence_breach,warning,Geofence Breach Alert,Automated alert: geofence breach detected on CAT D6 Bulldozer,False,Erika Mcpherson,2026-07-30T15:17:50,2026-07-30T15:19:31
1b02e42b-e347-4133-9cea-52d54b8b311e,881083bb-88bd-45a5-8974-ab4b05d6cd1e,speed_violation,critical,Speed Violation Alert,Automated alert: speed violation detected on CAT 336 Excavator,True,Cassandra Morris,2026-07-30T15:15:29,2026-07-30T15:16:07
0a523de1-7c97-4d2c-8f4d-149be367cb0c,f90a7087-1dfb-4b75-af42-add5c13d5e8a,geofence_breach,critical,Geofence Breach Alert,Automated alert: geofence breach detected on Volvo A40 Dump Truck,False,,2026-07-30T15:17:05,2026-07-30T15:15:16
2e0a125c-d734-4993-ab1f-a670800cb132,bd8a6a23-7708-4053-a7fd-05e7c8f03798,excessive_idle,emergency,Excessive Idle Alert,Automated alert: excessive idle detected on Dynapac CA3500 Compactor,False,Mary Logan,2026-07-30T15:14:20,2026-07-30T15:14:23
6aa459cc-3de7-44d4-86ed-e1b581f34baf,33e563e7-2f67-405f-ab2d-e2bd31e83272,maintenance_due,info,Maintenance Due Alert,Automated alert: maintenance due detected on John Deere 850K Bulldozer,True,,2026-07-30T15:14:13,2026-07-30T15:14:16
94e61549-3e5a-4a0f-994d-bd89551170e2,3a9cde6d-e056-4ade-9d29-f486f14a5d19,fuel_low,critical,Fuel Low Alert,Automated alert: fuel low detected on Volvo EC220 Excavator,False,Steven Jensen,2026-07-30T15:15:22,2026-07-30T15:19:36
a5f06b0f-3b8b-4dc4-98c0-a8abfd7d2d7e,9d052e8a-eecf-4b45-87e3-ae797d253684,geofence_breach,warning,Geofence Breach Alert,Automated alert: geofence breach detected on Komatsu WA320 Loader,True,Jack Fitzpatrick,2026-07-30T15:14:29,2026-07-30T15:14:05
2b375728-b9af-43a8-ac04-8402d16d96b1,028c27db-b2f0-4ab0-bd73-8f72de255e77,excessive_idle,info,Excessive Idle Alert,Automated alert: excessive idle detected on CAT 336 Excavator,False,Hunter Washington,2026-07-30T15:16:04,2026-07-30T15:18:20
d0483780-7670-4ca1-9c4b-0da48cc16b21,d7a5d25c-f62d-4c8b-93eb-b9c95a477694,health_alert,info,Health Alert Alert,Automated alert: health alert detected on CAT DP50 Forklift,True,Mark Mosley,2026-07-30T15:13:57,2026-07-30T15:15:38
61d8ce26-bf85-4b02-a5e9-4e1f504d1d58,7b26b146-0b8b-4b6f-a925-7226c0054069,fuel_low,warning,Fuel Low Alert,Automated alert: fuel low detected on CAT D8 Bulldozer,True,Ronald Holland,2026-07-30T15:19:06,2026-07-30T15:14:13
c65104c0-bc27-4c73-b7fe-b44be36c6ee0,ca73949f-0806-42b8-b607-c709518f50f9,health_alert,info,Health Alert Alert,Automated alert: health alert detected on MTU 12V4000 Generator,True,Richard Powell,2026-07-30T15:16:18,2026-07-30T15:15:59
54f21e1b-ad11-4fd2-9d13-4d290a7523cc,04713cc6-70a5-4613-b316-15a2911c362d,fuel_low,emergency,Fuel Low Alert,Automated alert: fuel low detected on CAT 770 Dump Truck,True,Barbara Campbell,2026-07-30T15:15:29,2026-07-30T15:16:42
5400ee11-a0ca-4efd-8c4e-674163cf6a68,ba6b37b1-895d-4f40-b998-5068b695a990,excessive_idle,emergency,Excessive Idle Alert,Automated alert: excessive idle detected on CAT CS56 Compactor,False,Katherine Johnson,2026-07-30T15:18:36,2026-07-30T15:14:09
28ad2c31-0ecd-458a-a5bd-d70ef6a1abaf,cb415840-0767-41a7-9e53-940076a20c84,battery_low,emergency,Battery Low Alert,Automated alert: battery low detected on CAT CS56 Compactor,False,Katherine Garcia,2026-07-30T15:15:17,2026-07-30T15:19:19
ec9680d5-a4ef-46eb-9743-994c2509bfca,b41ba241-49fa-43d9-90d5-f6cf8fedeed1,unauthorized_movement,info,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on Dynapac CA3500 Compactor,False,Robert Malone,2026-07-30T15:16:42,2026-07-30T15:13:58
268b53db-c298-4348-941b-fd5aab863b29,ee4f86b2-4255-4a91-a126-ead79dbbd91a,health_alert,emergency,Health Alert Alert,Automated alert: health alert detected on Komatsu WA320 Loader,True,,2026-07-30T15:17:09,2026-07-30T15:18:22
a17b37fa-3ac6-4987-8686-e29c7c6d2fc4,852e4a80-b7b2-435c-bf30-b16536ea934d,excessive_idle,critical,Excessive Idle Alert,Automated alert: excessive idle detected on Manitowoc 999 Crane,False,,2026-07-30T15:18:23,2026-07-30T15:14:19
e16698b4-a0aa-4f30-9235-87ea02f557e4,cdf2f5ec-4498-46da-a6ad-4427ae17d93e,battery_low,emergency,Battery Low Alert,Automated alert: battery low detected on CAT 740 Dump Truck,True,,2026-07-30T15:17:52,2026-07-30T15:15:15
fc8358ac-a53b-41cb-9a7b-0facd751c427,3ccc9093-50a4-4700-9fe0-a226f1dce9ed,excessive_idle,warning,Excessive Idle Alert,Automated alert: excessive idle detected on Link-Belt TCC-750 Crane,True,Gabriel Brown,2026-07-30T15:19:54,2026-07-30T15:17:55
6a6dfa76-ab9f-4a9c-8ede-8b54f4b4baf4,f7e2d4bb-1c8c-42bd-8c1a-e0424303bb7f,speed_violation,info,Speed Violation Alert,Automated alert: speed violation detected on MTU 12V4000 Generator,True,Derek Wood,2026-07-30T15:17:22,2026-07-30T15:16:55
7e7bb8cc-bffd-4410-bf36-9729b869744f,9e96e240-502d-4c40-93ab-735ed1290c24,engine_overheat,warning,Engine Overheat Alert,Automated alert: engine overheat detected on Komatsu HM400 Dump Truck,True,Timothy Jones,2026-07-30T15:16:34,2026-07-30T15:15:57
5ea8eaa0-bc56-4e20-a524-e3c122f90739,028a6f52-add2-4c7a-b7a3-a9c22ddb4879,fuel_low,critical,Fuel Low Alert,Automated alert: fuel low detected on Komatsu PC200 Excavator,True,Connie Williams,2026-07-30T15:14:44,2026-07-30T15:16:39
f48f9492-202e-40fe-870b-ff672385fe5d,2407b3e1-e827-4934-b475-37ac8507d2b5,fuel_low,info,Fuel Low Alert,Automated alert: fuel low detected on CAT 740 Dump Truck,True,Victoria Hanna,2026-07-30T15:17:27,2026-07-30T15:18:59
631800e2-f4c6-4b45-b32f-e6edda7411ec,78ab9fb2-0716-480a-9bad-035613f3b28e,unauthorized_movement,warning,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on CAT CS56 Compactor,True,Emily Olsen,2026-07-30T15:14:07,2026-07-30T15:19:47
943a5f70-599f-446f-a485-dbc8f9b04a3c,40530ddf-9272-4398-b4f9-63123a51517d,unauthorized_movement,info,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on CAT 966 Loader,True,Raymond Novak,2026-07-30T15:16:48,2026-07-30T15:14:12
e19edd7c-e243-45e6-8710-b56272999be7,36abd37b-7941-4398-bc33-c6512a939d89,battery_low,critical,Battery Low Alert,Automated alert: battery low detected on Yale GLP060VX Forklift,True,,2026-07-30T15:16:32,2026-07-30T15:16:14
bdbd2c89-ef3d-4b89-b134-3352c734e151,7d00d229-9b3b-456a-9776-1b804b900d9b,health_alert,warning,Health Alert Alert,Automated alert: health alert detected on Dynapac CA3500 Compactor,True,Diana Harmon,2026-07-30T15:15:21,2026-07-30T15:16:34
c02b23b1-cf7d-4757-8447-0e16463740bc,3be583ce-8dbc-4aa2-938b-b5e0b630c9d7,unauthorized_movement,warning,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on CAT 320 Excavator,True,Paul Smith,2026-07-30T15:13:57,2026-07-30T15:14:45
bc8e535c-6ced-477b-b6f5-0736d0bd3ca7,78ab9fb2-0716-480a-9bad-035613f3b28e,unauthorized_movement,critical,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on CAT CS56 Compactor,True,Victoria Williams,2026-07-30T15:14:39,2026-07-30T15:18:30
916601a5-695a-4b3b-b09c-941c41db4469,f55c7b06-3a4a-49bb-bd43-dc27fa8d5b52,fuel_low,warning,Fuel Low Alert,Automated alert: fuel low detected on Volvo L120 Loader,True,Brooke Gregory,2026-07-30T15:15:56,2026-07-30T15:14:05
5c7f0575-91ed-4166-96b2-d7b23c5eef39,2eb8d1d6-dd78-4042-aa8a-6baa498412c4,overload_detected,info,Overload Detected Alert,Automated alert: overload detected detected on Hyster H80FT Forklift,True,,2026-07-30T15:15:41,2026-07-30T15:18:34
f29a8275-c45e-4879-ad06-6d99bb0eeefb,dc78356a-fed9-45ea-beab-0914299bb385,overload_detected,emergency,Overload Detected Alert,Automated alert: overload detected detected on Hyster H80FT Forklift,True,Michael Rodriguez,2026-07-30T15:15:04,2026-07-30T15:19:11
64152203-5bc4-4fec-bc12-5445b8ec0c3f,a6b243e1-d7b4-459e-a48c-e1ad64b258ad,fuel_low,critical,Fuel Low Alert,Automated alert: fuel low detected on MTU 12V4000 Generator,True,,2026-07-30T15:16:31,2026-07-30T15:17:30
1a781fa7-eb40-4966-aace-9b962735a964,27e18ae1-9407-4827-985a-ed8cc2112041,unauthorized_movement,critical,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on CAT DP50 Forklift,False,,2026-07-30T15:15:57,2026-07-30T15:18:46
92e72780-661f-4218-a051-1e15819143a4,207765ff-11bf-4aa6-9f0d-278560a93eee,overload_detected,critical,Overload Detected Alert,Automated alert: overload detected detected on Link-Belt TCC-750 Crane,True,,2026-07-30T15:19:35,2026-07-30T15:19:09
1cb30917-fb43-4183-90c0-82d738f6045e,214a10d4-9121-4f2f-94d1-ed3411e89c8e,overload_detected,warning,Overload Detected Alert,Automated alert: overload detected detected on CAT CS56 Compactor,False,Evan Frank,2026-07-30T15:15:49,2026-07-30T15:17:48
44402bcc-a89d-4ae9-b6cc-01d1da6daead,072478da-740e-43d1-82aa-bc9e0891ca74,fuel_low,info,Fuel Low Alert,Automated alert: fuel low detected on Yale GLP060VX Forklift,True,Ryan Buck,2026-07-30T15:17:56,2026-07-30T15:16:32
0c3437ab-3a55-4e5b-b3f0-ff73e5ee9aab,bc90d5e7-ae38-4e79-9fc0-c57a30f96651,excessive_idle,emergency,Excessive Idle Alert,Automated alert: excessive idle detected on CAT 966 Loader,True,Julie Forbes,2026-07-30T15:14:35,2026-07-30T15:18:14
cc3237bd-d0f9-4bbe-8342-8c481ecc601c,34c219a5-e49e-4859-9f98-400ca757f93b,maintenance_due,emergency,Maintenance Due Alert,Automated alert: maintenance due detected on CAT 966 Loader,True,Andrea Castillo,2026-07-30T15:14:57,2026-07-30T15:18:28
1bfd6e47-3b1b-4c58-9cad-7086dbc3a980,9e63695f-0c10-4a4b-a2e3-87826df60aaa,battery_low,info,Battery Low Alert,Automated alert: battery low detected on MTU 12V4000 Generator,True,Daniel Foley,2026-07-30T15:19:25,2026-07-30T15:14:43
77b2721d-651d-47fe-9887-30c7259cdc6a,4f34ffa7-ace4-4f0b-9d42-9f6c63de233b,engine_overheat,warning,Engine Overheat Alert,Automated alert: engine overheat detected on Bomag BW 213 Compactor,False,Whitney Brown,2026-07-30T15:15:50,2026-07-30T15:18:12
0605e3d4-0170-4122-817c-b68c131da13e,d24f3bec-a830-4056-932b-c301019d66f6,maintenance_due,info,Maintenance Due Alert,Automated alert: maintenance due detected on CAT 966 Loader,True,,2026-07-30T15:18:40,2026-07-30T15:16:14
2f21bbac-1174-4b4f-8112-94372f4b1518,e3fa5400-f5c1-40d4-ba8a-31fb7e64bb79,engine_overheat,warning,Engine Overheat Alert,Automated alert: engine overheat detected on Liebherr LTM 1100 Crane,True,Philip Rodriguez,2026-07-30T15:14:28,2026-07-30T15:17:31
03266e85-e804-4f09-924c-61f88b868d36,ba46cbe8-e8ea-42e3-9f36-d94f02e45d49,geofence_breach,critical,Geofence Breach Alert,Automated alert: geofence breach detected on CAT 966 Loader,True,Taylor Meza,2026-07-30T15:16:18,2026-07-30T15:15:23
d939031b-0503-4839-80fd-8549206e908d,c434975b-7e94-456a-94ca-57a4819e0e72,engine_overheat,emergency,Engine Overheat Alert,Automated alert: engine overheat detected on MTU 12V4000 Generator,True,Scott Frey,2026-07-30T15:14:39,2026-07-30T15:19:41
c977378d-f3d3-4622-9814-1a8aee979c7b,eefb49ea-1cbf-44c5-b9ed-38d99ab28113,excessive_idle,warning,Excessive Idle Alert,Automated alert: excessive idle detected on CAT CS56 Compactor,True,Brenda Myers,2026-07-30T15:18:54,2026-07-30T15:18:16
a2770d39-af95-4c35-8009-15e62c11fd9a,690ab0be-783e-4fb2-95d2-02bb7a2bc4fc,unauthorized_movement,critical,Unauthorized Movement Alert,Automated alert: unauthorized movement detected on CAT D6 Bulldozer,True,Steven Owens,2026-07-30T15:16:58,2026-07-30T15:19:28
fee890e0-ba12-4af7-a105-54735906d990,a387491d-6043-436a-973c-8494e098cf26,health_alert,warning,Health Alert Alert,Automated alert: health alert detected on CAT DP50 Forklift,False,Colin Wright,2026-07-30T15:17:50,2026-07-30T15:15:21
f5ebc808-80b7-419b-b698-97682d08a546,7d745603-179b-4273-bbc0-e1e6fa47306b,battery_low,info,Battery Low Alert,Automated alert: battery low detected on CAT 330 Excavator,True,Dalton Obrien,2026-07-30T15:14:23,2026-07-30T15:14:41
af4a0227-4aba-4916-b394-1a4bc0bef8ca,d9dd841f-e1c8-4fa2-9e98-9cedb88adcee,fuel_low,info,Fuel Low Alert,Automated alert: fuel low detected on CAT D6 Bulldozer,False,Brent Martinez,2026-07-30T15:17:57,2026-07-30T15:17:13
